2015Q3,TANF Workers,,,"Allegany County, Maryland",90,,,,,
2015Q4,TANF Workers,,,"Allegany County, Maryland",79,,,,,
2016Q1,TANF Workers,,,"Allegany County, Maryland",69,,,,,
2016Q2,TANF Workers,,,"Allegany County, Maryland",60,,,,,
2016Q3,TANF Workers,,,"Allegany County, Maryland",62,,,,,
2016Q4,TANF Workers,,,"Allegany County, Maryland",69,,,,,
2017Q1,TANF Workers,,,"Allegany County, Maryland",35,,,,,
2017Q2,TANF Workers,,,"Allegany County, Maryland",44,,,,,
2017Q3,TANF Workers,,,"Allegany County, Maryland",47,,,,,
2017Q4,TANF Workers,,,"Allegany County, Maryland",44,,,,,
2018Q1,TANF Workers,,,"Allegany County, Maryland",45,,,,,
2018Q2,TANF Workers,,,"Allegany County, Maryland",52,,,,,
2018Q3,TANF Workers,,,"Allegany County, Maryland",58,,,,,
2018Q4,TANF Workers,,,"Allegany County, Maryland",47,,,,,
2019Q1,TANF Workers,,,"Allegany County, Maryland",42,,,,,
2019Q2,TANF Workers,,,"Allegany County, Maryland",63,,,,,
2019Q3,TANF Workers,,,"Allegany County, Maryland",53,,,,,
2019Q4,TANF Workers,,,"Allegany County, Maryland",42,,,,,
2020Q1,TANF Workers,,,"Allegany County, Maryland",43,,,,,
2020Q2,TANF Workers,,,"Allegany County, Maryland",54,,,,,
2020Q3,TANF Workers,,,"Allegany County, Maryland",57,,,,,
2020Q4,TANF Workers,,,"Allegany County, Maryland",81,,,,,
2021Q1,TANF Workers,,,"Allegany County, Maryland",63,,,,,
2021Q2,TANF Workers,,,"Allegany County, Maryland",88,,,,,
2021Q3,TANF Workers,,,"Allegany County, Maryland",105,,,,,
2021Q4,TANF Workers,,,"Allegany County, Maryland",135,,,,,
2022Q1,TANF Workers,,,"Allegany County, Maryland",129,,,,,
2022Q2,TANF Workers,,,"Allegany County, Maryland",128,,,,,
2022Q3,TANF Workers,,,"Allegany County, Maryland",171,,,,,
2022Q4,TANF Workers,,,"Allegany County, Maryland",155,,,,,
2015Q3,TANF Workers,,,"Anne Arundel County, Maryland",317,,,,,
2015Q4,TANF Workers,,,"Anne Arundel County, Maryland",362,,,,,
2016Q1,TANF Workers,,,"Anne Arundel County, Maryland",259,,,,,
2016Q2,TANF Workers,,,"Anne Arundel County, Maryland",266,,,,,
2016Q3,TANF Workers,,,"Anne Arundel County, Maryland",284,,,,,
2016Q4,TANF Workers,,,"Anne Arundel County, Maryland",279,,,,,
2017Q1,TANF Workers,,,"Anne Arundel County, Maryland",232,,,,,
2017Q2,TANF Workers,,,"Anne Arundel County, Maryland",263,,,,,
2017Q3,TANF Workers,,,"Anne Arundel County, Maryland",261,,,,,
2017Q4,TANF Workers,,,"Anne Arundel County, Maryland",309,,,,,
2018Q1,TANF Workers,,,"Anne Arundel County, Maryland",249,,,,,
2018Q2,TANF Workers,,,"Anne Arundel County, Maryland",222,,,,,
2018Q3,TANF Workers,,,"Anne Arundel County, Maryland",224,,,,,
2018Q4,TANF Workers,,,"Anne Arundel County, Maryland",249,,,,,
2019Q1,TANF Workers,,,"Anne Arundel County, Maryland",212,,,,,
2019Q2,TANF Workers,,,"Anne Arundel County, Maryland",220,,,,,
2019Q3,TANF Workers,,,"Anne Arundel County, Maryland",228,,,,,
2019Q4,TANF Workers,,,"Anne Arundel County, Maryland",238,,,,,
2020Q1,TANF Workers,,,"Anne Arundel County, Maryland",253,,,,,
2020Q2,TANF Workers,,,"Anne Arundel County, Maryland",354,,,,,
2020Q3,TANF Workers,,,"Anne Arundel County, Maryland",361,,,,,
2020Q4,TANF Workers,,,"Anne Arundel County, Maryland",342,,,,,
2021Q1,TANF Workers,,,"Anne Arundel County, Maryland",348,,,,,
2021Q2,TANF Workers,,,"Anne Arundel County, Maryland",418,,,,,
2021Q3,TANF Workers,,,"Anne Arundel County, Maryland",400,,,,,
2021Q4,TANF Workers,,,"Anne Arundel County, Maryland",461,,,,,
2022Q1,TANF Workers,,,"Anne Arundel County, Maryland",472,,,,,
2022Q2,TANF Workers,,,"Anne Arundel County, Maryland",426,,,,,
2022Q3,TANF Workers,,,"Anne Arundel County, Maryland",468,,,,,
2022Q4,TANF Workers,,,"Anne Arundel County, Maryland",425,,,,,
2015Q3,TANF Workers,,,"Baltimore City, Maryland",754,,,,,
2015Q4,TANF Workers,,,"Baltimore City, Maryland",786,,,,,
2016Q1,TANF Workers,,,"Baltimore City, Maryland",539,,,,,
2016Q2,TANF Workers,,,"Baltimore City, Maryland",596,,,,,
2016Q3,TANF Workers,,,"Baltimore City, Maryland",679,,,,,
2016Q4,TANF Workers,,,"Baltimore City, Maryland",683,,,,,
2017Q1,TANF Workers,,,"Baltimore City, Maryland",514,,,,,
2017Q2,TANF Workers,,,"Baltimore City, Maryland",579,,,,,
2017Q3,TANF Workers,,,"Baltimore City, Maryland",558,,,,,
2017Q4,TANF Workers,,,"Baltimore City, Maryland",672,,,,,
2018Q1,TANF Workers,,,"Baltimore City, Maryland",527,,,,,
2018Q2,TANF Workers,,,"Baltimore City, Maryland",530,,,,,
2018Q3,TANF Workers,,,"Baltimore City, Maryland",540,,,,,
2018Q4,TANF Workers,,,"Baltimore City, Maryland",582,,,,,
2019Q1,TANF Workers,,,"Baltimore City, Maryland",433,,,,,
2019Q2,TANF Workers,,,"Baltimore City, Maryland",473,,,,,
2019Q3,TANF Workers,,,"Baltimore City, Maryland",540,,,,,
2019Q4,TANF Workers,,,"Baltimore City, Maryland",573,,,,,
2020Q1,TANF Workers,,,"Baltimore City, Maryland",492,,,,,
2020Q2,TANF Workers,,,"Baltimore City, Maryland",814,,,,,
2020Q3,TANF Workers,,,"Baltimore City, Maryland",748,,,,,
2020Q4,TANF Workers,,,"Baltimore City, Maryland",818,,,,,
2021Q1,TANF Workers,,,"Baltimore City, Maryland",694,,,,,
2021Q2,TANF Workers,,,"Baltimore City, Maryland",1282,,,,,
2021Q3,TANF Workers,,,"Baltimore City, Maryland",1433,,,,,
2021Q4,TANF Workers,,,"Baltimore City, Maryland",1048,,,,,
2022Q1,TANF Workers,,,"Baltimore City, Maryland",774,,,,,
2022Q2,TANF Workers,,,"Baltimore City, Maryland",724,,,,,
2022Q3,TANF Workers,,,"Baltimore City, Maryland",929,,,,,
2022Q4,TANF Workers,,,"Baltimore City, Maryland",820,,,,,
2015Q3,TANF Workers,,,"Baltimore County, Maryland",2468,,,,,
2015Q4,TANF Workers,,,"Baltimore County, Maryland",2739,,,,,
2016Q1,TANF Workers,,,"Baltimore County, Maryland",1939,,,,,
2016Q2,TANF Workers,,,"Baltimore County, Maryland",2200,,,,,
2016Q3,TANF Workers,,,"Baltimore County, Maryland",2425,,,,,
2016Q4,TANF Workers,,,"Baltimore County, Maryland",2571,,,,,
2017Q1,TANF Workers,,,"Baltimore County, Maryland",1819,,,,,
2017Q2,TANF Workers,,,"Baltimore County, Maryland",1928,,,,,
2017Q3,TANF Workers,,,"Baltimore County, Maryland",1729,,,,,
2017Q4,TANF Workers,,,"Baltimore County, Maryland",2098,,,,,
2018Q1,TANF Workers,,,"Baltimore County, Maryland",1559,,,,,
2018Q2,TANF Workers,,,"Baltimore County, Maryland",1595,,,,,
2018Q3,TANF Workers,,,"Baltimore County, Maryland",1735,,,,,
2018Q4,TANF Workers,,,"Baltimore County, Maryland",1733,,,,,
2019Q1,TANF Workers,,,"Baltimore County, Maryland",1139,,,,,
2019Q2,TANF Workers,,,"Baltimore County, Maryland",1349,,,,,
2019Q3,TANF Workers,,,"Baltimore County, Maryland",1452,,,,,
2019Q4,TANF Workers,,,"Baltimore County, Maryland",1573,,,,,
2020Q1,TANF Workers,,,"Baltimore County, Maryland",1178,,,,,
2020Q2,TANF Workers,,,"Baltimore County, Maryland",2921,,,,,
2020Q3,TANF Workers,,,"Baltimore County, Maryland",3046,,,,,
2020Q4,TANF Workers,,,"Baltimore County, Maryland",2868,,,,,
2021Q1,TANF Workers,,,"Baltimore County, Maryland",1824,,,,,
2021Q2,TANF Workers,,,"Baltimore County, Maryland",3353,,,,,
2021Q3,TANF Workers,,,"Baltimore County, Maryland",3669,,,,,
2021Q4,TANF Workers,,,"Baltimore County, Maryland",3493,,,,,
2022Q1,TANF Workers,,,"Baltimore County, Maryland",2117,,,,,
2022Q2,TANF Workers,,,"Baltimore County, Maryland",1937,,,,,
2022Q3,TANF Workers,,,"Baltimore County, Maryland",2042,,,,,
2022Q4,TANF Workers,,,"Baltimore County, Maryland",1812,,,,,
2015Q3,TANF Workers,,,"Calvert County, Maryland",31,,,,,
2015Q4,TANF Workers,,,"Calvert County, Maryland",27,,,,,
2016Q1,TANF Workers,,,"Calvert County, Maryland",21,,,,,
2016Q2,TANF Workers,,,"Calvert County, Maryland",27,,,,,
2016Q3,TANF Workers,,,"Calvert County, Maryland",18,,,,,
2016Q4,TANF Workers,,,"Calvert County, Maryland",20,,,,,
2017Q1,TANF Workers,,,"Calvert County, Maryland",19,,,,,
2017Q2,TANF Workers,,,"Calvert County, Maryland",24,,,,,
2017Q3,TANF Workers,,,"Calvert County, Maryland",27,,,,,
2017Q4,TANF Workers,,,"Calvert County, Maryland",25,,,,,
2018Q1,TANF Workers,,,"Calvert County, Maryland",16,,,,,
2018Q2,TANF Workers,,,"Calvert County, Maryland",14,,,,,
2018Q3,TANF Workers,,,"Calvert County, Maryland",12,,,,,
2018Q4,TANF Workers,,,"Calvert County, Maryland",19,,,,,
2019Q1,TANF Workers,,,"Calvert County, Maryland",15,,,,,
2019Q2,TANF Workers,,,"Calvert County, Maryland",11,,,,,
2019Q3,TANF Workers,,,"Calvert County, Maryland",13,,,,,
2019Q4,TANF Workers,,,"Calvert County, Maryland",15,,,,,
2020Q1,TANF Workers,,,"Calvert County, Maryland",23,,,,,
2020Q2,TANF Workers,,,"Calvert County, Maryland",40,,,,,
2020Q3,TANF Workers,,,"Calvert County, Maryland",36,,,,,
2020Q4,TANF Workers,,,"Calvert County, Maryland",37,,,,,
2021Q1,TANF Workers,,,"Calvert County, Maryland",24,,,,,
2021Q2,TANF Workers,,,"Calvert County, Maryland",24,,,,,
2021Q3,TANF Workers,,,"Calvert County, Maryland",21,,,,,
2021Q4,TANF Workers,,,"Calvert County, Maryland",12,,,,,
2022Q1,TANF Workers,,,"Calvert County, Maryland",16,,,,,
2022Q2,TANF Workers,,,"Calvert County, Maryland",20,,,,,
2022Q3,TANF Workers,,,"Calvert County, Maryland",24,,,,,
2022Q4,TANF Workers,,,"Calvert County, Maryland",21,,,,,
2015Q3,TANF Workers,,,"Caroline County, Maryland",21,,,,,
2015Q4,TANF Workers,,,"Caroline County, Maryland",17,,,,,
2016Q1,TANF Workers,,,"Caroline County, Maryland",12,,,,,
2016Q2,TANF Workers,,,"Caroline County, Maryland",20,,,,,
2016Q3,TANF Workers,,,"Caroline County, Maryland",18,,,,,
2016Q4,TANF Workers,,,"Caroline County, Maryland",10,,,,,
2017Q1,TANF Workers,,,"Caroline County, Maryland",8,,,,,
2017Q2,TANF Workers,,,"Caroline County, Maryland",11,,,,,
2017Q3,TANF Workers,,,"Caroline County, Maryland",14,,,,,
2017Q4,TANF Workers,,,"Caroline County, Maryland",16,,,,,
2018Q1,TANF Workers,,,"Caroline County, Maryland",18,,,,,
2018Q2,TANF Workers,,,"Caroline County, Maryland",26,,,,,
2018Q3,TANF Workers,,,"Caroline County, Maryland",27,,,,,
2018Q4,TANF Workers,,,"Caroline County, Maryland",18,,,,,
2019Q1,TANF Workers,,,"Caroline County, Maryland",19,,,,,
2019Q2,TANF Workers,,,"Caroline County, Maryland",14,,,,,
2019Q3,TANF Workers,,,"Caroline County, Maryland",15,,,,,
2019Q4,TANF Workers,,,"Caroline County, Maryland",11,,,,,
2020Q1,TANF Workers,,,"Caroline County, Maryland",20,,,,,
2020Q2,TANF Workers,,,"Caroline County, Maryland",25,,,,,
2020Q3,TANF Workers,,,"Caroline County, Maryland",14,,,,,
2020Q4,TANF Workers,,,"Caroline County, Maryland",10,,,,,
2021Q1,TANF Workers,,,"Caroline County, Maryland",9,,,,,
2021Q2,TANF Workers,,,"Caroline County, Maryland",50,,,,,
2021Q3,TANF Workers,,,"Caroline County, Maryland",42,,,,,
2021Q4,TANF Workers,,,"Caroline County, Maryland",24,,,,,
2022Q1,TANF Workers,,,"Caroline County, Maryland",30,,,,,
2022Q2,TANF Workers,,,"Caroline County, Maryland",34,,,,,
2022Q3,TANF Workers,,,"Caroline County, Maryland",38,,,,,
2022Q4,TANF Workers,,,"Caroline County, Maryland",40,,,,,
2015Q3,TANF Workers,,,"Carroll County, Maryland",38,,,,,
2015Q4,TANF Workers,,,"Carroll County, Maryland",35,,,,,
2016Q1,TANF Workers,,,"Carroll County, Maryland",31,,,,,
2016Q2,TANF Workers,,,"Carroll County, Maryland",32,,,,,
2016Q3,TANF Workers,,,"Carroll County, Maryland",34,,,,,
2016Q4,TANF Workers,,,"Carroll County, Maryland",29,,,,,
2017Q1,TANF Workers,,,"Carroll County, Maryland",16,,,,,
2017Q2,TANF Workers,,,"Carroll County, Maryland",15,,,,,
2017Q3,TANF Workers,,,"Carroll County, Maryland",21,,,,,
2017Q4,TANF Workers,,,"Carroll County, Maryland",20,,,,,
2018Q1,TANF Workers,,,"Carroll County, Maryland",26,,,,,
2018Q2,TANF Workers,,,"Carroll County, Maryland",30,,,,,
2018Q3,TANF Workers,,,"Carroll County, Maryland",26,,,,,
2018Q4,TANF Workers,,,"Carroll County, Maryland",20,,,,,
2019Q1,TANF Workers,,,"Carroll County, Maryland",12,,,,,
2019Q2,TANF Workers,,,"Carroll County, Maryland",12,,,,,
2019Q3,TANF Workers,,,"Carroll County, Maryland",15,,,,,
2019Q4,TANF Workers,,,"Carroll County, Maryland",22,,,,,
2020Q1,TANF Workers,,,"Carroll County, Maryland",20,,,,,
2020Q2,TANF Workers,,,"Carroll County, Maryland",41,,,,,
2020Q3,TANF Workers,,,"Carroll County, Maryland",22,,,,,
2020Q4,TANF Workers,,,"Carroll County, Maryland",9,,,,,
2021Q1,TANF Workers,,,"Carroll County, Maryland",14,,,,,
2021Q2,TANF Workers,,,"Carroll County, Maryland",21,,,,,
2021Q3,TANF Workers,,,"Carroll County, Maryland",21,,,,,
2021Q4,TANF Workers,,,"Carroll County, Maryland",24,,,,,
2022Q1,TANF Workers,,,"Carroll County, Maryland",31,,,,,
2022Q2,TANF Workers,,,"Carroll County, Maryland",29,,,,,
2022Q3,TANF Workers,,,"Carroll County, Maryland",46,,,,,
2022Q4,TANF Workers,,,"Carroll County, Maryland",32,,,,,
2015Q3,TANF Workers,,,"Cecil County, Maryland",81,,,,,
2015Q4,TANF Workers,,,"Cecil County, Maryland",75,,,,,
2016Q1,TANF Workers,,,"Cecil County, Maryland",69,,,,,
2016Q2,TANF Workers,,,"Cecil County, Maryland",75,,,,,
2016Q3,TANF Workers,,,"Cecil County, Maryland",70,,,,,
2016Q4,TANF Workers,,,"Cecil County, Maryland",61,,,,,
2017Q1,TANF Workers,,,"Cecil County, Maryland",51,,,,,
2017Q2,TANF Workers,,,"Cecil County, Maryland",68,,,,,
2017Q3,TANF Workers,,,"Cecil County, Maryland",60,,,,,
2017Q4,TANF Workers,,,"Cecil County, Maryland",56,,,,,
2018Q1,TANF Workers,,,"Cecil County, Maryland",42,,,,,
2018Q2,TANF Workers,,,"Cecil County, Maryland",49,,,,,
2018Q3,TANF Workers,,,"Cecil County, Maryland",50,,,,,
2018Q4,TANF Workers,,,"Cecil County, Maryland",58,,,,,
2019Q1,TANF Workers,,,"Cecil County, Maryland",46,,,,,
2019Q2,TANF Workers,,,"Cecil County, Maryland",63,,,,,
2019Q3,TANF Workers,,,"Cecil County, Maryland",46,,,,,
2019Q4,TANF Workers,,,"Cecil County, Maryland",42,,,,,
2020Q1,TANF Workers,,,"Cecil County, Maryland",50,,,,,
2020Q2,TANF Workers,,,"Cecil County, Maryland",76,,,,,
2020Q3,TANF Workers,,,"Cecil County, Maryland",75,,,,,
2020Q4,TANF Workers,,,"Cecil County, Maryland",72,,,,,
2021Q1,TANF Workers,,,"Cecil County, Maryland",55,,,,,
2021Q2,TANF Workers,,,"Cecil County, Maryland",114,,,,,
2021Q3,TANF Workers,,,"Cecil County, Maryland",118,,,,,
2021Q4,TANF Workers,,,"Cecil County, Maryland",76,,,,,
2022Q1,TANF Workers,,,"Cecil County, Maryland",67,,,,,
2022Q2,TANF Workers,,,"Cecil County, Maryland",83,,,,,
2022Q3,TANF Workers,,,"Cecil County, Maryland",103,,,,,
2022Q4,TANF Workers,,,"Cecil County, Maryland",95,,,,,
2015Q3,TANF Workers,,,"Charles County, Maryland",81,,,,,
2015Q4,TANF Workers,,,"Charles County, Maryland",83,,,,,
2016Q1,TANF Workers,,,"Charles County, Maryland",71,,,,,
2016Q2,TANF Workers,,,"Charles County, Maryland",75,,,,,
2016Q3,TANF Workers,,,"Charles County, Maryland",76,,,,,
2016Q4,TANF Workers,,,"Charles County, Maryland",78,,,,,
2017Q1,TANF Workers,,,"Charles County, Maryland",54,,,,,
2017Q2,TANF Workers,,,"Charles County, Maryland",59,,,,,
2017Q3,TANF Workers,,,"Charles County, Maryland",67,,,,,
2017Q4,TANF Workers,,,"Charles County, Maryland",62,,,,,
2018Q1,TANF Workers,,,"Charles County, Maryland",45,,,,,
2018Q2,TANF Workers,,,"Charles County, Maryland",48,,,,,
2018Q3,TANF Workers,,,"Charles County, Maryland",58,,,,,
2018Q4,TANF Workers,,,"Charles County, Maryland",60,,,,,
2019Q1,TANF Workers,,,"Charles County, Maryland",35,,,,,
2019Q2,TANF Workers,,,"Charles County, Maryland",67,,,,,
2019Q3,TANF Workers,,,"Charles County, Maryland",53,,,,,
2019Q4,TANF Workers,,,"Charles County, Maryland",49,,,,,
2020Q1,TANF Workers,,,"Charles County, Maryland",62,,,,,
2020Q2,TANF Workers,,,"Charles County, Maryland",77,,,,,
2020Q3,TANF Workers,,,"Charles County, Maryland",62,,,,,
2020Q4,TANF Workers,,,"Charles County, Maryland",59,,,,,
2021Q1,TANF Workers,,,"Charles County, Maryland",56,,,,,
2021Q2,TANF Workers,,,"Charles County, Maryland",86,,,,,
2021Q3,TANF Workers,,,"Charles County, Maryland",77,,,,,
2021Q4,TANF Workers,,,"Charles County, Maryland",96,,,,,
2022Q1,TANF Workers,,,"Charles County, Maryland",93,,,,,
2022Q2,TANF Workers,,,"Charles County, Maryland",82,,,,,
2022Q3,TANF Workers,,,"Charles County, Maryland",144,,,,,
2022Q4,TANF Workers,,,"Charles County, Maryland",131,,,,,
2015Q3,TANF Workers,,,"Dorchester County, Maryland",83,,,,,
2015Q4,TANF Workers,,,"Dorchester County, Maryland",72,,,,,
2016Q1,TANF Workers,,,"Dorchester County, Maryland",52,,,,,
2016Q2,TANF Workers,,,"Dorchester County, Maryland",44,,,,,
2016Q3,TANF Workers,,,"Dorchester County, Maryland",37,,,,,
2016Q4,TANF Workers,,,"Dorchester County, Maryland",41,,,,,
2017Q1,TANF Workers,,,"Dorchester County, Maryland",30,,,,,
2017Q2,TANF Workers,,,"Dorchester County, Maryland",25,,,,,
2017Q3,TANF Workers,,,"Dorchester County, Maryland",31,,,,,
2017Q4,TANF Workers,,,"Dorchester County, Maryland",38,,,,,
2018Q1,TANF Workers,,,"Dorchester County, Maryland",26,,,,,
2018Q2,TANF Workers,,,"Dorchester County, Maryland",33,,,,,
2018Q3,TANF Workers,,,"Dorchester County, Maryland",28,,,,,
2018Q4,TANF Workers,,,"Dorchester County, Maryland",37,,,,,
2019Q1,TANF Workers,,,"Dorchester County, Maryland",26,,,,,
2019Q2,TANF Workers,,,"Dorchester County, Maryland",30,,,,,
2019Q3,TANF Workers,,,"Dorchester County, Maryland",25,,,,,
2019Q4,TANF Workers,,,"Dorchester County, Maryland",25,,,,,
2020Q1,TANF Workers,,,"Dorchester County, Maryland",21,,,,,
2020Q2,TANF Workers,,,"Dorchester County, Maryland",36,,,,,
2020Q3,TANF Workers,,,"Dorchester County, Maryland",31,,,,,
2020Q4,TANF Workers,,,"Dorchester County, Maryland",25,,,,,
2021Q1,TANF Workers,,,"Dorchester County, Maryland",32,,,,,
2021Q2,TANF Workers,,,"Dorchester County, Maryland",76,,,,,
2021Q3,TANF Workers,,,"Dorchester County, Maryland",55,,,,,
2021Q4,TANF Workers,,,"Dorchester County, Maryland",40,,,,,
2022Q1,TANF Workers,,,"Dorchester County, Maryland",38,,,,,
2022Q2,TANF Workers,,,"Dorchester County, Maryland",43,,,,,
2022Q3,TANF Workers,,,"Dorchester County, Maryland",44,,,,,
2022Q4,TANF Workers,,,"Dorchester County, Maryland",29,,,,,
2015Q3,TANF Workers,,,"Frederick County, Maryland",83,,,,,
2015Q4,TANF Workers,,,"Frederick County, Maryland",84,,,,,
2016Q1,TANF Workers,,,"Frederick County, Maryland",78,,,,,
2016Q2,TANF Workers,,,"Frederick County, Maryland",81,,,,,
2016Q3,TANF Workers,,,"Frederick County, Maryland",93,,,,,
2016Q4,TANF Workers,,,"Frederick County, Maryland",73,,,,,
2017Q1,TANF Workers,,,"Frederick County, Maryland",62,,,,,
2017Q2,TANF Workers,,,"Frederick County, Maryland",62,,,,,
2017Q3,TANF Workers,,,"Frederick County, Maryland",69,,,,,
2017Q4,TANF Workers,,,"Frederick County, Maryland",79,,,,,
2018Q1,TANF Workers,,,"Frederick County, Maryland",66,,,,,
2018Q2,TANF Workers,,,"Frederick County, Maryland",53,,,,,
2018Q3,TANF Workers,,,"Frederick County, Maryland",65,,,,,
2018Q4,TANF Workers,,,"Frederick County, Maryland",68,,,,,
2019Q1,TANF Workers,,,"Frederick County, Maryland",60,,,,,
2019Q2,TANF Workers,,,"Frederick County, Maryland",64,,,,,
2019Q3,TANF Workers,,,"Frederick County, Maryland",56,,,,,
2019Q4,TANF Workers,,,"Frederick County, Maryland",64,,,,,
2020Q1,TANF Workers,,,"Frederick County, Maryland",72,,,,,
2020Q2,TANF Workers,,,"Frederick County, Maryland",79,,,,,
2020Q3,TANF Workers,,,"Frederick County, Maryland",76,,,,,
2020Q4,TANF Workers,,,"Frederick County, Maryland",69,,,,,
2021Q1,TANF Workers,,,"Frederick County, Maryland",81,,,,,
2021Q2,TANF Workers,,,"Frederick County, Maryland",105,,,,,
2021Q3,TANF Workers,,,"Frederick County, Maryland",103,,,,,
2021Q4,TANF Workers,,,"Frederick County, Maryland",122,,,,,
2022Q1,TANF Workers,,,"Frederick County, Maryland",129,,,,,
2022Q2,TANF Workers,,,"Frederick County, Maryland",133,,,,,
2022Q3,TANF Workers,,,"Frederick County, Maryland",167,,,,,
2022Q4,TANF Workers,,,"Frederick County, Maryland",144,,,,,
2015Q3,TANF Workers,,,"Garrett County, Maryland",18,,,,,
2015Q4,TANF Workers,,,"Garrett County, Maryland",14,,,,,
2016Q1,TANF Workers,,,"Garrett County, Maryland",12,,,,,
2016Q2,TANF Workers,,,"Garrett County, Maryland",26,,,,,
2016Q3,TANF Workers,,,"Garrett County, Maryland",14,,,,,
2016Q4,TANF Workers,,,"Garrett County, Maryland",16,,,,,
2017Q1,TANF Workers,,,"Garrett County, Maryland",8,,,,,
2017Q2,TANF Workers,,,"Garrett County, Maryland",12,,,,,
2017Q3,TANF Workers,,,"Garrett County, Maryland",12,,,,,
2017Q4,TANF Workers,,,"Garrett County, Maryland",11,,,,,
2018Q1,TANF Workers,,,"Garrett County, Maryland",7,,,,,
2018Q2,TANF Workers,,,"Garrett County, Maryland",8,,,,,
2018Q3,TANF Workers,,,"Garrett County, Maryland",6,,,,,
2018Q4,TANF Workers,,,"Garrett County, Maryland",11,,,,,
2019Q1,TANF Workers,,,"Garrett County, Maryland",16,,,,,
2019Q2,TANF Workers,,,"Garrett County, Maryland",21,,,,,
2019Q3,TANF Workers,,,"Garrett County, Maryland",16,,,,,
2019Q4,TANF Workers,,,"Garrett County, Maryland",14,,,,,
2020Q1,TANF Workers,,,"Garrett County, Maryland",18,,,,,
2020Q2,TANF Workers,,,"Garrett County, Maryland",18,,,,,
2020Q3,TANF Workers,,,"Garrett County, Maryland",8,,,,,
2020Q4,TANF Workers,,,"Garrett County, Maryland",9,,,,,
2021Q1,TANF Workers,,,"Garrett County, Maryland",12,,,,,
2021Q2,TANF Workers,,,"Garrett County, Maryland",17,,,,,
2021Q3,TANF Workers,,,"Garrett County, Maryland",12,,,,,
2021Q4,TANF Workers,,,"Garrett County, Maryland",14,,,,,
2022Q1,TANF Workers,,,"Garrett County, Maryland",15,,,,,
2022Q2,TANF Workers,,,"Garrett County, Maryland",15,,,,,
2022Q3,TANF Workers,,,"Garrett County, Maryland",20,,,,,
2022Q4,TANF Workers,,,"Garrett County, Maryland",15,,,,,
2015Q3,TANF Workers,,,"Harford County, Maryland",132,,,,,
